股票代码,公司全称,年份,行业分类代码,行业分类名称,涉农业务_保守不重叠口径,工作表采用涉农业务营业收入_元,严格口径营业收入_元,扩展口径营业收入_元,未计入但用于上限检验的乳制品收入_元,金额精度或补充证据说明,补充官方证据链接,公司营业收入_元,工作表采用涉农收入占比,严格口径收入占比,扩展口径收入占比,严格样本结论,扩展样本结论,边界样本结论,是否存在分部收入重叠,复核说明,年报主营业务证据PDF页序号,公司营业收入证据PDF页序号,年报链接,记录类型,复核日期
600265,云南景谷林业股份有限公司,2021,2.0,林业,林木销售；林板、木材及林化初加工（扩展口径）,129420890.75,0,129420890.75,,,,137029110.46,0.94447735,0.00000000,0.94447735,否,是,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,严格口径占0.00%，未达50%；同一维度加入初加工和农业投入品后占94.45%，纳入扩展样本。林木销售计入直接林业；林板/木材和松香、松节油等林化初加工计入扩展口径；能源、租赁、林地使用权及固定资产处置不计入。,18,72,https://static.cninfo.com.cn/finalpage/2022-04-28/1213158895.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2013,3.0,畜牧业,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,271071006.56,60783039.34,271071006.56,7046681.65,,,1026673081.47,0.26402855,0.05920389,0.26402855,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占5.92%，扩展口径占26.40%，均未达到相应门槛。乳制品7,046,681.65元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅27.09%。肉制品、速食品、餐饮及殡葬业务未计入。",13,51|89,https://static.cninfo.com.cn/finalpage/2014-04-18/63860299.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2014,3.0,畜牧业,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,295253874.04,71302900.09,295253874.04,3224634.36,,,1100242977.76,0.26835334,0.06480650,0.26835334,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占6.48%，扩展口径占26.84%，均未达到相应门槛。乳制品3,224,634.36元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅27.13%。肉制品、速食品、餐饮及殡葬业务未计入。",13,52,https://static.cninfo.com.cn/finalpage/2015-03-28/1200757012.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2015,3.0,畜牧业,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,316414140.11,68226814.50,316414140.11,10383344.81,,,1343812355.13,0.23546006,0.05077109,0.23546006,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占5.08%，扩展口径占23.55%，均未达到相应门槛。乳制品10,383,344.81元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅24.32%。肉制品、速食品、餐饮及殡葬业务未计入。",10,51,https://static.cninfo.com.cn/finalpage/2016-03-23/1202067555.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2016,3.0,畜牧业,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,298533182.25,43953568.89,298533182.25,14350351.99,,,1370995900.08,0.21774914,0.03205959,0.21774914,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占3.21%，扩展口径占21.77%，均未达到相应门槛。乳制品14,350,351.99元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅22.82%。肉制品、速食品、餐饮及殡葬业务未计入。",13,57,https://static.cninfo.com.cn/finalpage/2017-03-23/1203187948.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2017,3.0,畜牧业,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,279797322.30,3028843.43,279797322.30,16999955.96,,,1360558933.25,0.20564881,0.00222618,0.20564881,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占0.22%，扩展口径占20.56%，均未达到相应门槛。乳制品16,999,955.96元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅21.81%。肉制品、速食品、餐饮及殡葬业务未计入。",12,55|63,https://static.cninfo.com.cn/finalpage/2018-03-28/1204524284.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2018,3.0,畜牧业,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,289617557.44,9710281.06,289617557.44,24478693.44,,,1453720417.48,0.19922507,0.00667961,0.19922507,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占0.67%，扩展口径占19.92%，均未达到相应门槛。乳制品24,478,693.44元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅21.61%。肉制品、速食品、餐饮及殡葬业务未计入。",12,68,https://static.cninfo.com.cn/finalpage/2019-03-30/1205968345.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2019,3.0,畜牧业,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,287329672.69,9673574.31,287329672.69,23313975.15,,,1446840589.75,0.19859111,0.00668600,0.19859111,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占0.67%，扩展口径占19.86%，均未达到相应门槛。乳制品23,313,975.15元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅21.47%。肉制品、速食品、餐饮及殡葬业务未计入。",13,76,https://static.cninfo.com.cn/finalpage/2020-04-28/1207648287.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2020,待核实,待核实,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,227191916.47,0,227191916.47,20448542.84,,,1086334896.36,0.20913617,0.00000000,0.20913617,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占0.00%，扩展口径占20.91%，均未达到相应门槛。乳制品20,448,542.84元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅22.80%。肉制品、速食品、餐饮及殡葬业务未计入。",14,66,https://static.cninfo.com.cn/finalpage/2021-03-26/1209451994.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2021,待核实,待核实,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,242651671.00,0,242651671.00,14778854.87,,,1268506611.25,0.19128924,0.00000000,0.19128924,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占0.00%，扩展口径占19.13%，均未达到相应门槛。乳制品14,778,854.87元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅20.29%。肉制品、速食品、餐饮及殡葬业务未计入。",19,88,https://static.cninfo.com.cn/finalpage/2022-09-10/1214578531.PDF,本次新增跨年快速复核（未合并）,2026-08-11
600965,河北福成五丰食品股份有限公司,2022,待核实,待核实,活牛/小牛、原奶；牛肉和羊肉初加工（扩展口径）,294841234.22,90738540.00,294841234.22,23177397.00,,,1073890737.22,0.27455422,0.08449513,0.27455422,否,否,否,否（仅使用同一分产品或明确交易收入；不跨维度相加）,"严格口径占8.45%，扩展口径占27.46%，均未达到相应门槛。乳制品23,177,397.00元因初加工部分未拆分而不计入；即使全部计入，占比上限也仅29.61%。肉制品、速食品、餐饮及殡葬业务未计入。",19,89,https://static.cninfo.com.cn/finalpage/2023-07-01/1217177539.PDF,本次新增跨年快速复核（未合并）,2026-08-11
