下载包ID,优先级,数据库与优先顺序,模块或表名候选,模块表名核实状态,股票范围,查询年份,频率与日期,报表或主体口径,主键与追溯字段中文,已核实字段代码,必选原始字段中文,未核实字段代码处理,同表字段是否允许合并下载,直接用途,缺失或无权限替代,下载后首检
P0-10,P0,CSMAR优先；RESSET后备,"CSMAR公司治理研究—实际控制人/最终控制人文件；RESSET公司治理—控制人信息",候选名称；需登录页面确认实际表名,入口池146只,2013-2023,年度年末,"最终控制人；按控制权有效期匹配年末",证券代码；公告日；有效起止日期；控制人名称,需在页面确认,最终控制人性质；国有控制人类别；控制权变更日期；是否无实际控制人,需在页面确认,是；同一控制人表字段合并下载,SOE控制及异质性,另一数据库；交易所年报和控制权变更公告,年度内控制权变更；央企和地方国企分类；集体企业
P0-11A,P0,CSMAR优先；RESSET后备,"CSMAR中国上市公司经营困境研究数据库—融资约束（表名待确认）；RESSET融资约束/特色指标表",CSMAR官方已确认经营困境库含融资约束但具体表和字段未核实,入口池146只,2013-2023,年度,"数据库预计算口径；必须同时下载方法说明/版本",证券代码；会计年度；模型或版本,需在页面确认,SA指数；WW指数；KZ指数；各指标方向或公式说明,需在页面确认,是；三个指数若在同一表可一次下载,FC_SA基准；FC_WW与FC_KZ稳健性,若无权限用P0-11B原始字段自算,指数正负方向；SA是否取绝对值；公式版本；重复证券年度
P0-11B,P0后备,CSMAR财务表和公司基本信息,"自算SA与WW所需字段；不是独立数据库表",派生方案；字段来自P0-01至04和P0-12,SA限入口池146只；WW行业增长需全A股非金融,2012-2023,年度,"统一合并年报；2012作滞后；固定行业口径",证券代码；会计年度；行业代码,无新增已核实代码,总资产；成立日期；经营现金流；现金股利支付虚拟变量；长期负债；营业收入；行业年度营业收入总额/增长率,需在各来源页面确认,否；来自多表必须分表下载后本地合并,SA和WW自行复算,SA可直接用P0-01与04；WW无全市场行业增长时仅使用数据库现成WW,WW首年滞后缺失；行业重分类；现金股利口径；不得用候选146只计算行业增长
P0-12A,P0,CSMAR优先；RESSET后备,"CSMAR公司研究—全要素生产率研究表/经营困境相关效率表；RESSET公司特色指标—全要素生产率",表名仅为检索候选；公开材料未核实存在及算法,入口池146只,2013-2023,年度,"预计算指标；须保留估计方法、产出定义、行业样本与版本",证券代码；会计年度；模型名称,需在页面确认,LP法TFP；OP法TFP；OLS法TFP；估计方法说明,需在页面确认,是；若同一预计算表可一次下载,Y替代指标TFP_LP,若页面无表或无权限使用P0-12B全市场原始字段估计,方法名称相同但投入/产出定义不同；不可混用不同版本
P0-12B,P0后备,CSMAR优先；RESSET后备,"财务报表+员工构成的TFP自行估计数据包；不是独立表",派生方案,全A股非金融公司（估计后回填入口池）,2012-2023,年度,"合并年报；按稳定的证监会行业组估计；2012作滞后",证券代码；会计年度；固定行业代码,需在各来源页面确认,营业收入或工业增加值候选；固定资产净额；员工人数；营业成本或购买商品接受劳务现金作为中间投入候选；折旧和工资字段用于增加值法时下载,需在各表页面确认,否；财务与员工表分别下载后本地合并,自行估计LP/OP/OLS TFP,若无法取得全A股员工数和中间投入则以数据库预计算TFP为唯一P0路径,不得只用146只估计生产函数；行业年度样本量；负值/零值；上市首年滞后
P0-13,P0后备仅WW,CSMAR优先；RESSET后备,"CSMAR公司行为研究—现金股利分配/分红文件；RESSET公司行为—分红派息",候选名称；需登录页面确认实际表名,全A股非金融（仅自行计算WW时）,2012-2023,按会计年度汇总,"现金股利；以是否支付现金股利构造虚拟变量",证券代码；分红对应会计年度；公告日；实施日,需在页面确认,每股现金股利；现金股利总额；是否派现,需在页面确认,是；同一分红表字段合并下载,WW派息虚拟变量,若取得现成WW则整包不下载；否则用现金流量表与利润分配附注交叉判断,公告年度与利润所属年度错配；预案未实施；含税口径
P1-01,P1,CSMAR优先；RESSET后备；DIB最后,"CSMAR内部控制研究—内部控制评价/审计意见；RESSET内部控制报告；DIB内部控制指数",候选名称；需登录页面确认；DIB权限未知,入口池146只,2013-2023,年度,"上市公司年度内部控制报告；合并层面",证券代码；报告年度；报告日期；信息来源,需在页面确认,内部控制指数；重大缺陷；重要缺陷；内部控制审计意见；是否披露内控审计报告,需在页面确认,是；同一内控表字段合并下载,M2内部控制质量,无连续指数时用重大缺陷/非标准意见虚拟变量；再无则转Myopia,免审计与无缺陷不可混同；指数版本；意见类型
P1-02,P1,RESSET财经文本优先；CSMAR WinGo后备,"年报MD&A/董事会报告词频或全文；管理层短视主义现成字段若页面存在",RESSET公开产品确认含定期报告和董事会报告文本；具体表和现成指标待确认,入口池146只,2013-2023,年度,"年度报告MD&A；固定章节边界和同一文本版本",证券代码；报告年度；报告ID；章节名；总词数,需在页面确认,MD&A全文或短视词词频；MD&A总词数；词典版本,需在页面确认,词频若同一结果表可合并；全文应单独保存,M2管理层短视主义替代,无权限用已保存巨潮年报自行提取,OCR文本质量；章节错位；短期压力词误判；不能只下载词频不留分母
P1-03,P1,CSMAR优先；RESSET后备,"财务报表附注—无形资产明细；RESSET财务附注—无形资产构成",候选名称；需登录页面确认,最终分析样本而非先做全146只,2013-2023,年度,"合并报表附注；期末净额",证券代码；会计年度；无形资产类别；单位,需在页面确认,土地使用权净额；软件净额；专利权净额；非专利技术净额；无形资产合计,需在页面确认,是；同一附注明细表字段合并下载,扣除土地后的无形资产强度与增强指标,字段不稳定时从年报附注补；仍不能拆分则使用未扣土地口径并单独命名,原值/累计摊销/净额混淆；类别名称变化；单位
P1-04,P1,CSMAR优先；RESSET后备,"公司财务附注—利息支出与有息负债；融资成本相关指标表",候选名称；需登录页面确认,最终分析样本,2013-2023,年度,"合并口径；当期利息与平均有息负债",证券代码；会计年度；报表口径,需在页面确认,利息支出；资本化利息；费用化利息；短期借款；一年内到期非流动负债；长期借款；应付债券,需在页面确认,同一附注表可合并；资产负债字段沿用P0-01,CostDebt与长期融资可得性替代机制,缺利息支出用财务费用/平均有息负债但另设变量名,无债务分母为0；利息资本化；平均负债需t-1
P1-05,P1,CSMAR优先；RESSET后备,"机构调研研究数据库/投资者关系活动表",候选名称；需登录页面确认,入口池146只,2013-2023,按事件汇总年度,"上市公司接待机构调研事件；同日同场去重",证券代码；调研日期；活动ID；参与机构ID,需在页面确认,调研次数；参与机构家次；调研方式；公告来源,需在页面确认,是；同一事件表字段合并下载,M2外部监督扩展机制,无权限用交易所互动易/上证e互动公告但成本较高,同一活动重复机构；线上线下；早期披露不足
