变量模块,一级维度,二级维度,三级指标,变量名,基准或备选,定义与公式,方向,原始字段,优先数据库,预期覆盖年份,缺失或口径风险,替代方案
Y新质生产力,科技创新,创新质量,发明专利占比,NQP_invshare,基准,"当年发明专利授权数/当年全部专利授权数；全部为0时记缺失而非0",正向,"发明、实用新型、外观设计授权数",CNRDS或CSMAR专利,2013-2023,"分母为0时无法定义；小样本比率跳动大",三年滚动发明授权占比；或发明专利被引次数（需专利引文库）
Y替代指标,生产率,全要素生产率,LP法全要素生产率,TFP_LP,稳健性,"按行业生产函数用Levinsohn-Petrin法估计TFP；营业收入或增加值为产出，中间投入为代理变量，资本和劳动为投入",正向,"营业收入/工业增加值；固定资产；员工数；购买商品接受劳务现金或营业成本",CSMAR财务报表；可复现代码,2013-2023,"小型涉农样本内单独估计生产函数不稳定；跨行业生产技术不同",使用全A股非金融企业按CSRC行业×年度估计后回填；OP法、OLS法TFP稳健性
M1资源机制,融资约束,规模年龄约束,SA融资约束指数,FC_SA,基准,"SA_raw=-0.737×Size+0.043×Size²-0.040×Age；Size=ln(总资产)，Age=当年-成立年+1；先保留raw并按采用文献明确正负方向，常用FC_SA=abs(SA_raw)表示值越大约束越强",正向（FC口径）,"总资产；成立日期；会计年度",CSMAR公司基本信息与财务报表；RESSET,2013-2023,"国内常见改写未必遵循Hadlock-Pierce原文对规模和年龄的截尾；该指数由规模和年龄机械决定且与控制变量Size/Age高度相关",直接采用数据库经核验的SA字段并保留算法元数据；KZ、WW作为稳健性；报告共线性
M1资源机制,融资约束,现金流资产负债约束,KZ指数,FC_KZ,稳健性,"优先使用CSMAR/RESSET经说明的KZ指数；如自行计算必须逐项复现所选文献公式并记录资本存量、TobinQ、股利与现金定义",正向,"经营现金流；固定资产；TobinQ；负债；现金股利；现金持有",CSMAR融资约束研究数据库；RESSET,2013-2023,"KZ系数源于特定美国小样本且含内生财务结果；不同中文研究公式和分母不一致",仅作稳健性，不作为基准；同时报告WW或SA
M1资源机制,融资约束,结构估计约束,WW指数,FC_WW,稳健性,"优先使用数据库WW；若自算按Whited-Wu原式统一现金流/资产、派息虚拟变量、长期负债/资产、规模、行业销售增长和本公司销售增长",正向,"现金流；总资产；现金股利；长期负债；销售收入；行业代码",CSMAR融资约束研究数据库；RESSET,2013-2023,"需要行业销售增长和连续滞后值；首年缺失；行业重分类会影响结果",使用固定2012版行业重算行业增长；与SA结果交叉验证
M1资源机制,融资供给,长期融资可得性,长期资金新增率,LongFinance,替代机制,"(长期借款_t+应付债券_t-长期借款_{t-1}-应付债券_{t-1})/期初总资产",正向（可得性）,"长期借款；应付债券；期初总资产",CSMAR资产负债表,2014-2023,"负值含偿债；并非全为新增外部资本；无法覆盖样本首年",改用长期有息负债/总有息负债；获得银行长期借款虚拟变量
M1资源机制,融资成本,债务成本,利息负担率,CostDebt,替代机制,"利息支出/平均有息负债；有息负债=短期借款+一年内到期非流动负债+长期借款+应付债券",负向（成本下降）,"利息支出；各项有息负债",CSMAR财务附注/财务指标；RESSET,2013-2023,"财务费用中的利息支出字段早期缺失；资本化利息处理不同；无债务时不可定义",财务费用/平均有息负债；利息保障倍数取负向
M1资源机制,创新资源,研发投入,研发投入强度中介,RD_M,不推荐与基准Y同时使用,"研发投入合计/营业收入",正向,"费用化研发；资本化研发；营业收入",CSMAR研发创新；Wind；年报,2013-2023,"与Y中的研发投入强度完全重合，形成机械中介；早期缺失",若选作M1必须从Y删除研发投入指标并重算；更推荐FC_SA作为M1
M2治理机制,内部控制,内部控制质量,内部控制指数,ICQ,基准（有权限时）,"迪博内部控制指数/1000或标准化；值越高内部控制质量越好",正向,"内部控制指数；重大/重要缺陷；内部控制审计意见",DIB迪博内部控制与风险管理数据库,2013-2023,"商业数据库权限须实际确认；指数供应商方法随版本变化；部分公司免披露内控审计",无DIB权限时构建IC_weakness虚拟变量；或改用管理层短视主义
M2治理机制,内部控制,重大缺陷,内部控制缺陷虚拟变量,IC_weakness,稳健性,"当年披露财务报告内部控制重大缺陷、否定意见或无法表示意见=1，否则=0",负向（缺陷）,"内部控制评价报告；内部控制审计意见类型；重大缺陷披露",CSMAR内部控制；CNRDS；巨潮资讯官方报告,2013-2023,"无缺陷披露可能是未发现而非不存在；审计要求随板块和年份变化",使用内控审计标准意见虚拟变量；DIB指数
M2治理机制,管理层短视,MD&A短期导向,管理层短视主义,Myopia,备选基准,"MD&A中短期导向词出现次数/MD&A总词数×100；词典及分词、否定词、章节边界必须固定并公开",负向（短视）,"年度报告MD&A正文；短期导向词典；总词数",CNRDS/Wingo管理层短视数据库（若有权限）；巨潮年报自行复现,2013-2023,"文本OCR和章节定位误差；行业压力词可能不是短视；词典版本差异；构建成本较高",使用数据库现成字段并抽样核验；三年移动平均；以长期投资倾向作结果替代
M2治理机制,代理成本,费用型代理成本,管理费用率,AgencyCost,稳健性,"管理费用/营业收入",负向（代理成本）,"管理费用；营业收入",CSMAR财务报表,2013-2023,"管理费用也包含正常组织能力投入，不能等同治理质量；2018年研发费用重分类影响管理费用",用其他应收款/总资产或资产周转率反向；仅作稳健性
M2治理机制,盈余管理,应计盈余管理,操纵性应计利润,DA_MJ,稳健性,"按行业×年度估计修正Jones模型的操纵性应计利润绝对值",负向（盈余管理）,"净利润；经营现金流；总资产；营业收入；应收账款；固定资产",CSMAR财务报表；可复现代码,2013-2023,"57家公司样本内行业年度估计量不足；模型误差大",用全A股非金融样本估计行业×年度参数后回填；采用绩效匹配DA
M2治理机制,外部监督,机构调研,机构调研强度,Visit,稳健性,"ln(1+当年机构调研参与机构家次)或当年是否被调研",正向,"调研日期；参与机构；调研公告",CSMAR机构调研；CNRDS；交易所互动易/上证e互动,2013-2023,"调研活动也受公司信息需求和关注度影响，反向因果强；早期披露较少",调研次数、机构家数分别使用；仅作扩展机制
控制变量,企业特征,规模,企业规模,Size,基准,"ln(期末总资产)",控制,"总资产",CSMAR/RESSET财务报表,2013-2023,"与SA指数机械相关",报告VIF；SA机制回归中说明共同构成并用KZ/WW稳健性
控制变量,企业特征,年龄,上市年龄,ListAge,基准,"ln(当年-上市年份+1)",控制,"上市日期；会计年度",CSMAR/RESSET公司基本信息,2013-2023,"与SA中的成立年龄不是同一概念；首年为ln(1)=0",稳健性使用成立年龄
控制变量,资本结构,杠杆,资产负债率,Lev,基准,"总负债/总资产",控制,"总负债；总资产",CSMAR/RESSET财务报表,2013-2023,"异常资不抵债公司；与KZ/WW部分构成重叠",剔除ST后缩尾；机制使用KZ/WW时做共线性说明
控制变量,经营绩效,盈利能力,总资产收益率,ROA,基准,"净利润/平均总资产",控制,"净利润；总资产",CSMAR/RESSET财务报表,2013-2023,"负值和极端值；与部分融资约束指数相关",营业利润/平均总资产
控制变量,成长能力,销售增长,营业收入增长率,Growth,基准,"(营业收入_t-营业收入_{t-1})/营业收入_{t-1}",控制,"营业收入及滞后值",CSMAR/RESSET财务报表,2014-2023,"首年缺失；前期收入接近0造成极端值",1%/99%缩尾；TobinQ
控制变量,流动性,经营现金流,现金流比率,CFO,基准,"经营活动现金流量净额/平均总资产",控制,"经营活动现金流量净额；总资产",CSMAR/RESSET现金流量表,2013-2023,"农业周期使年度波动较大；与KZ/WW构成重叠",三年平均CFO；现金持有率
控制变量,股权结构,所有权集中,第一大股东持股比例,Top1,基准,"第一大股东持股数/总股本",控制,"第一大股东持股数或持股比例；总股本",CSMAR治理；RESSET股东结构,2013-2023,"年末与报告期内变动；总股本/流通股口径混淆",统一年末占总股本比例；Top5或Top10集中度
控制变量,董事会,董事会规模,董事会规模,Board,基准,"ln(董事人数)",控制,"董事会人数",CSMAR治理；RESSET,2013-2023,"换届年份年末与全年口径不同",统一年末在任人数
控制变量,董事会,独立性,独立董事比例,Indep,基准,"独立董事人数/董事会人数",控制,"独立董事人数；董事人数",CSMAR治理；RESSET,2013-2023,"换届和缺位造成短期异常",统一年末口径并检查是否大于1
控制变量,管理层,权力集中,两职合一,Dual,基准,"董事长与总经理为同一人=1，否则=0",控制,"董事长姓名/人员ID；总经理姓名/人员ID；数据库两职合一字段",CSMAR治理；RESSET,2013-2023,"代理总经理、联席总经理和姓名同名问题",优先用人员ID和数据库标识并人工抽查异常
控制变量,产权性质,最终控制人,国有企业,SOE,基准,"最终控制人性质为中央或地方国有=1，否则=0",控制,"实际控制人类型；控制权变更日期",CSMAR实际控制人；RESSET,2013-2023,"年度内控制权变更；集体企业和无实际控制人分类",按年末最终控制人；将央企/地方国企拆分作异质性
控制变量,市场估值,成长机会,TobinQ,TobinQ,稳健性,"(流通股市值+非流通股账面价值+负债账面价值)/总资产，优先直接采用数据库一致口径",控制,"股票市值；非流通股；负债；总资产",CSMAR相对价值指标；RESSET,2013-2023,"股改后非流通股口径变化；不同数据库公式不同",市净率或销售增长率
控制变量,资产结构,有形性,固定资产比率,Tangibility,稳健性,"固定资产净额/总资产",控制,"固定资产净额；总资产",CSMAR/RESSET财务报表,2013-2023,"与Y的人均固定资产相关，可能过度控制",基准不放；仅在删除Y资本深化指标的稳健性中加入
