股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
000798,中水集团远洋股份有限公司,2014,4.0,渔业,行业分类候选,远洋捕捞,343870250.72,378756392.67,0.90789293,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2015-03-30/1200754520.PDF,16,57,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2014,1.0,农业,行业分类候选+龙头企业身份核实候选,水稻、蔬菜瓜果、玉米、小麦及棉花油菜种子,1511241361.14,1815424946.98,0.83244497,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2015-04-28/1200922611.PDF,21,78,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2014,1.0,农业,行业分类候选,玉米种子（保守产品口径）,1415061521.91,1480081484.48,0.95607001,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2015-04-21/1200876975.PDF,14,62,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002458,山东益生种畜禽股份有限公司,2014,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,鸡、猪、牛奶,833339825.23,841921368.35,0.98980719,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,,,,https://static.cninfo.com.cn/finalpage/2015-03-31/1200767909.PDF,14,59,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002679,福建金森林业股份有限公司,2014,2.0,林业,行业分类候选,木材、种苗及林业经济作物（主营业务合计）,176193042.6,190206399.58,0.92632552,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2015-04-17/1200848813.PDF,15,72,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002714,牧原食品集团股份有限公司,2014,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,畜牧养殖,2602676476.34,2604763390.34,0.99919881,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2015-04-27/1200907919.PDF,16,93,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2014,1.0,农业,行业分类候选,水稻、小麦、玉米、瓜菜、棉花、油菜种子,440352967.23,469022777.13,0.93887331,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2015-04-23/1200896083.PDF,17,74,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300189,海南神农种业科技股份有限公司,2014,1.0,农业,行业分类候选+龙头企业身份核实候选,杂交水稻、玉米、棉花、蔬菜及其他种子,266096600.0,301602338.43,0.88227632,否（同一分产品维度内求和）,是,是,否,明确种子产品收入已超过合并营业收入50%，未计农化、粮食、房屋、供应链等项目。,,,,https://static.cninfo.com.cn/finalpage/2020-01-07/1207233017.PDF,21,82,已人工复核（跨年快速核对第五批）,逐年核对官方年报分产品收入，业务转型年份按当年实际口径判定。
600108,甘肃亚盛实业(集团)股份有限公司,2014,1.0,农业,行业分类候选+龙头企业身份核实候选,农业种植,1788063222.47,2244848820.55,0.79651833,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2015-04-24/1200900635.PDF,9,55,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2014,1.0,农业,行业分类候选,种子行业,425540609.24,438199300.97,0.97111202,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2015-04-11/1200812452.PDF,10,41,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600467,山东好当家海洋发展股份有限公司,2014,4.0,渔业,行业分类候选+龙头企业身份核实候选,水产养殖、捕捞,580822837.78,881254604.83,0.6590863,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2015-04-25/1200906321.PDF,15,58,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600598,黑龙江北大荒农业股份有限公司,2014,1.0,农业,行业分类候选,农业行业（土地承包及农产品经营）,2771568795.49,5113819813.61,0.54197623,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,是,是,,https://static.cninfo.com.cn/finalpage/2015-03-31/1200763582.PDF,9,58,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000798,中水集团远洋股份有限公司,2015,4.0,渔业,行业分类候选,远洋捕捞,344229783.68,521523302.38,0.66004679,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2016-04-29/1202268278.PDF,10,63,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2015,1.0,农业,行业分类候选+龙头企业身份核实候选,水稻、蔬菜瓜果、玉米及小麦种子,1734837842.56,2025824711.54,0.85636128,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2016-04-08/1202150869.PDF,24,93,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2015,1.0,农业,行业分类候选,玉米种子（保守产品口径）,1477794264.73,1530773334.98,0.96539065,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2016-07-13/1202467805.PDF,13,80,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002458,山东益生种畜禽股份有限公司,2015,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,鸡、猪、牛奶,592871066.56,604290341.75,0.981103,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,,,,https://static.cninfo.com.cn/finalpage/2016-04-26/1202240523.PDF,13,61,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002679,福建金森林业股份有限公司,2015,2.0,林业,行业分类候选,林业,150873376.6,198786732.91,0.75897106,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2016-04-23/1202230093.PDF,14,76,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002714,牧原食品集团股份有限公司,2015,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,畜牧业（生猪）,3002995668.79,3003474722.79,0.9998405,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2016-02-25/1201997101.PDF,21,95,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2015,1.0,农业,行业分类候选,水稻、小麦种子（仅取年报明确列示项）,457385237.4,607448026.24,0.75296193,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2016-03-15/1202044825.PDF,14,78,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300189,海南神农种业科技股份有限公司,2015,1.0,农业,行业分类候选+龙头企业身份核实候选,杂交水稻、玉米、棉花、蔬菜及其他种子,239020007.32,310509442.07,0.76976728,否（同一分产品维度内求和）,是,是,否,明确种子产品收入已超过合并营业收入50%，未计农化、粮食、房屋、供应链等项目。,,,,https://static.cninfo.com.cn/finalpage/2020-01-07/1207233016.PDF,16,92,已人工复核（跨年快速核对第五批）,逐年核对官方年报分产品收入，业务转型年份按当年实际口径判定。
600108,甘肃亚盛实业(集团)股份有限公司,2015,1.0,农业,行业分类候选+龙头企业身份核实候选,农业种植,1621364594.68,2191117593.57,0.73997151,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2016-04-28/1202261759.PDF,11,52,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2015,1.0,农业,行业分类候选,种子行业,364704423.31,371715892.15,0.98113756,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2016-03-31/1202110510.PDF,10,42,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600467,山东好当家海洋发展股份有限公司,2015,4.0,渔业,行业分类候选+龙头企业身份核实候选,水产养殖、捕捞,553486037.4,986967423.93,0.56079464,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2016-04-23/1202227974.PDF,10,42,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600598,黑龙江北大荒农业股份有限公司,2015,1.0,农业,行业分类候选,农业行业（土地承包及农产品经营）,2637577960.46,3654397734.62,0.72175449,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,是,否,,https://static.cninfo.com.cn/finalpage/2016-03-22/1202064999.PDF,10,57,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000798,中水集团远洋股份有限公司,2016,4.0,渔业,行业分类候选,远洋捕捞,352892543.23,534459692.46,0.66027906,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2017-04-27/1203406664.PDF,12,69,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2016,1.0,农业,行业分类候选,农业（水稻种子、玉米种子）,1507451747.12,2299410170.79,0.65558193,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2017-04-28/1203415549.PDF,25,114|174,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2016,1.0,农业,行业分类候选,玉米种子（保守产品口径）,1547236853.14,1602630739.42,0.96543565,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2017-04-21/1203344879.PDF,16,86,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002234,山东民和牧业股份有限公司,2016,3.0,畜牧业,行业分类候选,雏鸡及淘汰鸡,801958311.2,1408702921.15,0.56928846,否（仅使用同一分产品维度）,是,是,否,直接畜牧养殖收入占56.93%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2017-03-25/1203194868.PDF,17,54,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002458,山东益生种畜禽股份有限公司,2016,3.0,畜牧业,行业分类候选,鸡、猪、牛奶,1586466270.15,1611132544.74,0.9846901,否（仅使用同一分行业维度）,是,是,否,直接畜牧养殖收入占98.47%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2017-03-21/1203179920.PDF,16,72,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002679,福建金森林业股份有限公司,2016,2.0,林业,行业分类候选,林业,113484097.38,137628739.26,0.82456686,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2017-04-26/1203388813.PDF,13,70,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002714,牧原食品集团股份有限公司,2016,3.0,畜牧业,行业分类候选,畜牧业,5605907003.09,5605907003.09,1.0,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2017-04-26/1203388322.PDF,22,95,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002772,天水众兴菌业科技股份有限公司,2016,1.0,农业,行业分类候选,食用菌种植,585018459.38,585018459.38,1.0,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2017-02-28/1203112266.PDF,23,111,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2016,1.0,农业,行业分类候选,水稻、玉米、小麦种子（仅取年报明确列示项）,637545643.22,757218222.05,0.84195761,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2017-04-08/1203263906.PDF,20,92,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300511,上海雪榕生物科技股份有限公司,2016,1.0,农业,行业分类候选,食用菌种植,985313102.69,998677031.84,0.98661837,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2017-03-14/1203155463.PDF,22,89,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
600108,甘肃亚盛实业(集团)股份有限公司,2016,1.0,农业,行业分类候选,农业种植,1596645360.48,2068975051.65,0.77170837,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2017-04-28/1203411242.PDF,11,51,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2016,1.0,农业,行业分类候选,玉米种子（保守产品口径）,307391243.06,318502363.87,0.96511448,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2017-04-25/1203372878.PDF,11,50,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600598,黑龙江北大荒农业股份有限公司,2016,1.0,农业,行业分类候选,农业行业（土地承包及农产品经营）,2563091960.64,3094778574.28,0.82819882,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2017-03-28/1203209010.PDF,11,63,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000798,中水集团远洋股份有限公司,2017,4.0,渔业,行业分类候选,远洋捕捞,603260705.75,748144656.79,0.80634233,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443995.PDF,12,26|68,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2017,1.0,农业,行业分类候选,农业（水稻种子、玉米种子）,2291490702.79,3190019342.23,0.71833129,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2018-06-19/1205065798.PDF,20,99,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2017,1.0,农业,行业分类候选,玉米种子（保守产品口径）,747975359.62,803820973.69,0.93052481,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2018-04-20/1204668180.PDF,17,64,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002458,山东益生种畜禽股份有限公司,2017,3.0,畜牧业,行业分类候选,鸡、猪、牛奶,635130404.29,656404863.44,0.96758942,否（仅使用同一分行业维度）,是,是,否,直接畜牧养殖收入占96.76%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2018-04-27/1204801962.PDF,17,65,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002679,福建金森林业股份有限公司,2017,2.0,林业,行业分类候选,林业,134301043.21,174898144.88,0.76788146,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2018-04-27/1204806149.PDF,14,75,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002714,牧原食品集团股份有限公司,2017,3.0,畜牧业,行业分类候选,畜牧业,10042415931.26,10042415931.26,1.0,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2018-02-10/1204411631.PDF,24,110,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002772,天水众兴菌业科技股份有限公司,2017,1.0,农业,行业分类候选,食用菌种植,739792782.58,739792782.58,1.0,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2018-03-24/1204511292.PDF,23,159,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2017,1.0,农业,行业分类候选,水稻、小麦、玉米、瓜菜、棉花、其他作物、油菜种子,765060848.01,947465898.19,0.80748114,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2018-04-04/1204586469.PDF,21,102,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300511,上海雪榕生物科技股份有限公司,2017,1.0,农业,行业分类候选,食用菌种植,1317961606.28,1330283904.69,0.99073709,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2018-06-01/1205028653.PDF,20,93,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
